Time (s),Current (A),Voltage (V),Temperature (K)
202.1600,1.000000e-01,0.003791621,246.220
203.0548,1.000000e-01,0.003788035,245.880
203.9240,1.000000e-01,0.003783615,245.530
204.8089,1.000000e-01,0.003776753,245.210
205.6875,1.000000e-01,0.003768628,244.830
206.5531,1.000000e-01,0.003764300,244.480
207.4342,1.000000e-01,0.003757678,244.130
208.3166,1.000000e-01,0.003749425,243.790
209.1973,1.000000e-01,0.003745791,243.440
210.0770,1.000000e-01,0.003738816,243.100
211.0131,1.000000e-01,0.003735339,242.740
211.8909,1.000000e-01,0.003728710,242.410
212.7225,1.000000e-01,0.003728509,242.050
213.5546,1.000000e-01,0.003723547,241.730
214.4360,1.000000e-01,0.003713557,241.730
215.3165,1.000000e-01,0.003705940,241.390
216.1982,1.000000e-01,0.003700437,241.060
217.0794,1.000000e-01,0.003696851,240.700
217.9618,1.000000e-01,0.003686712,240.370
218.8434,1.000000e-01,0.003679921,240.050
219.7227,1.000000e-01,0.003672796,239.690
220.6045,1.000000e-01,0.003668752,239.330
221.4861,1.000000e-01,0.003666050,238.980
222.3686,1.000000e-01,0.003659917,238.660
223.2503,1.000000e-01,0.003654321,238.320
224.1322,1.000000e-01,0.003649371,237.980
225.0137,1.000000e-01,0.003641747,237.640
226.0125,1.000000e-01,0.003638965,237.300
226.8765,1.000000e-01,0.003632778,236.980
227.7581,1.000000e-01,0.003626682,236.660
228.6401,1.000000e-01,0.003624827,236.320
229.5209,1.000000e-01,0.003620306,235.960
230.4026,1.000000e-01,0.003611969,235.620
231.2854,1.000000e-01,0.003606288,235.300
232.1666,1.000000e-01,0.003600385,234.980
233.0493,1.000000e-01,0.003592309,234.640
233.9300,1.000000e-01,0.003587743,234.320
234.8002,1.000000e-01,0.003586160,233.980
235.6785,1.000000e-01,0.003581726,233.640
236.5594,1.000000e-01,0.003575403,233.320
237.3927,1.000000e-01,0.003571379,233.010
238.2725,1.000000e-01,0.003564807,232.670
239.1043,1.000000e-01,0.003559786,232.350
239.9854,1.000000e-01,0.003551618,232.010
240.8667,1.000000e-01,0.003550040,231.610
241.7487,1.000000e-01,0.003543262,231.370
242.6300,1.000000e-01,0.003541876,231.050
243.5116,1.000000e-01,0.003538298,230.720
